YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-09,WEEKDAY,20,TRAIN,NS13,38864,84526
2024-09,WEEKDAY,20,TRAIN,CC8,5450,11544
2024-09,WEEKDAY,18,TRAIN,EW24/NS1,235875,156991
2024-09,WEEKDAY,17,TRAIN,CC26,25364,5259
2024-09,WEEKDAY,17,TRAIN,EW9,33550,32979
2024-09,WEEKDAY,18,TRAIN,DT5,27901,47880
2024-09,WEEKDAY,9,TRAIN,DT34,7450,7640
2024-09,WEEKDAY,19,TRAIN,BP7,944,2490
2024-09,WEEKDAY,6,TRAIN,SE1,7426,3132
2024-09,WEEKDAY,10,TRAIN,BP9,3062,1440
2024-09,WEEKDAY,10,TRAIN,DT10,4796,1839
2024-09,WEEKDAY,22,TRAIN,CG2,30809,12346
2024-09,WEEKDAY,20,TRAIN,NS14,18513,51516
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,DT23,2413,1832
2024-09,WEEKENDS/HOLIDAY,15,TRAIN,NE14,13450,13968
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,TE26,8754,7520
2024-09,WEEKENDS/HOLIDAY,21,TRAIN,NS18,2488,8431
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,NE5,7136,8682
2024-09,WEEKENDS/HOLIDAY,12,TRAIN,PW1,1686,2317
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,CC27,1748,975
2024-09,WEEKENDS/HOLIDAY,9,TRAIN,NE4/DT19,10222,22868
2024-09,WEEKDAY,19,TRAIN,SW7,1826,5895
2024-09,WEEKDAY,19,TRAIN,BP4,1851,4831
2024-09,WEEKDAY,12,TRAIN,TE11,4150,2601
2024-09,WEEKDAY,23,TRAIN,NS12,2014,9347
2024-09,WEEKENDS/HOLIDAY,23,TRAIN,PE4,213,393
2024-09,WEEKDAY,0,TRAIN,SE3,35,781
2024-09,WEEKDAY,10,TRAIN,CC24,14240,38710
2024-09,WEEKDAY,17,TRAIN,NE8,43501,44950
2024-09,WEEKENDS/HOLIDAY,13,TRAIN,EW7,8392,7903
2024-09,WEEKDAY,21,TRAIN,CC23,11422,2015
2024-09,WEEKDAY,17,TRAIN,TE14/NS22,121840,86993
2024-09,WEEKDAY,13,TRAIN,EW18,15832,16134
2024-09,WEEKDAY,21,TRAIN,EW15,50474,9703
2024-09,WEEKDAY,18,TRAIN,TE8,22363,28106
2024-09,WEEKDAY,16,TRAIN,TE26,12164,14290
2024-09,WEEKENDS/HOLIDAY,20,TRAIN,NS11,10562,24301
2024-09,WEEKENDS/HOLIDAY,10,TRAIN,NE15,13959,5696
2024-09,WEEKENDS/HOLIDAY,13,TRAIN,TE23,1359,1333
2024-09,WEEKENDS/HOLIDAY,14,TRAIN,EW11,9073,11285
2024-09,WEEKENDS/HOLIDAY,8,TRAIN,SE2,3109,1258
2024-09,WEEKENDS/HOLIDAY,5,TRAIN,NS10,5300,644
2024-09,WEEKENDS/HOLIDAY,19,TRAIN,BP11,822,1737
2024-09,WEEKENDS/HOLIDAY,22,TRAIN,BP10,304,1466
2024-09,WEEKDAY,23,TRAIN,NS18,2068,10014
2024-09,WEEKDAY,9,TRAIN,NS27/CE2/TE20,1576,26970
2024-09,WEEKENDS/HOLIDAY,17,TRAIN,BP12,1183,910
2024-09,WEEKENDS/HOLIDAY,18,TRAIN,PW2,186,99
2024-09,WEEKENDS/HOLIDAY,0,TRAIN,PE6,33,311
2024-09,WEEKDAY,16,TRAIN,NE1/CC29,60527,42986
2024-09,WEEKDAY,8,TRAIN,NS14,115800,28816
2024-09,WEEKDAY,13,TRAIN,NS4/BP1,31342,33037
2024-09,WEEKENDS/HOLIDAY,20,TRAIN,EW8/CC9,27099,16419
2024-09,WEEKDAY,17,TRAIN,CC11,80481,16511
2024-09,WEEKDAY,18,TRAIN,EW6,17801,37679
2024-09,WEEKENDS/HOLIDAY,7,TRAIN,DT8,783,1084
2024-09,WEEKDAY,14,TRAIN,TE12,4489,6752
2024-09,WEEKDAY,18,TRAIN,DT13,28879,21624
